Date,Time,Pitch,Home Team,Score,Away Team
Thursday 30 Jan 2025,18:30,Pitch 5,Yes4Youth,6 - 4,Black Arrow 5s
Thursday 30 Jan 2025,19:20,Pitch 5,Stanlib,0 - 3,DT WASPS
Thursday 30 Jan 2025,20:10,Pitch 1,Stoner FC,5 - 10,Bryte SA
Thursday 30 Jan 2025,20:10,Pitch 5,Sipholile Blues Fc,12 - 5,"""MNS"" Attorneys"
Thursday 30 Jan 2025,21:00,Pitch 4,Monocle FC,3 - 4,Maradonners
Thursday 13 Feb 2025,18:30,Pitch 2,Yes4Youth,4 - 1,DT WASPS
Thursday 13 Feb 2025,19:20,Pitch 4,Black Arrow 5s,6 - 7,Maradonners
Thursday 13 Feb 2025,19:20,Pitch 5,Bryte SA,10 - 7,"""MNS"" Attorneys"
Thursday 13 Feb 2025,20:10,Pitch 3,Stanlib,7 - 3,Sipholile Blues Fc
Thursday 13 Feb 2025,20:10,Pitch 4,Stoner FC,4 - 6,Monocle FC
